evidenceId,category,item,variant,sheet,frameIndex,globalIndex,row,col,x,y,w,h,individual
EV-FP-001,Fingerprints,Latent fingerprint,partial print on glass/register/door handle,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,0,0,0,0,0,0,128,128,assets/evidence/individual/ev-fp-001_latent_fingerprint.png
EV-FP-002,Fingerprints,Bloody fingerprint,blood-smeared print on wall/weapon/car door,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,1,1,0,1,128,0,128,128,assets/evidence/individual/ev-fp-002_bloody_fingerprint.png
EV-FP-003,Fingerprints,Grease/oil fingerprint,garage/tool/vehicle surface print,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,2,2,0,2,256,0,128,128,assets/evidence/individual/ev-fp-003_grease_oil_fingerprint.png
EV-DNA-001,Biological,Blood drop trail,drops leading from scene to alley,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,3,3,0,3,384,0,128,128,assets/evidence/individual/ev-dna-001_blood_drop_trail.png
EV-DNA-002,Biological,Hair strand,caught on fence/window/coat,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,4,4,0,4,512,0,128,128,assets/evidence/individual/ev-dna-002_hair_strand.png
EV-DNA-003,Biological,Saliva on cigarette,discarded cigarette butt,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,5,5,0,5,640,0,128,128,assets/evidence/individual/ev-dna-003_saliva_on_cigarette.png
EV-DNA-004,Biological,Tissue / cloth with blood,"rag, napkin, bandage",assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,6,6,0,6,768,0,128,128,assets/evidence/individual/ev-dna-004_tissue_cloth_with_blood.png
EV-FT-001,Footprints,Muddy footprint,mud print near door/alley,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,7,7,0,7,896,0,128,128,assets/evidence/individual/ev-ft-001_muddy_footprint.png
EV-FT-002,Footprints,Bloody footprint,shoe print in blood,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,8,8,1,0,0,128,128,128,assets/evidence/individual/ev-ft-002_bloody_footprint.png
EV-FT-003,Footprints,Dusty shoe print,print on office floor/window sill,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,9,9,1,1,128,128,128,128,assets/evidence/individual/ev-ft-003_dusty_shoe_print.png
EV-FT-004,Footprints,Tire tracks,skid/turn mark near hit-and-run,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,10,10,1,2,256,128,128,128,assets/evidence/individual/ev-ft-004_tire_tracks.png
EV-FT-005,Footprints,Drag marks,body/object dragged across floor,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,11,11,1,3,384,128,128,128,assets/evidence/individual/ev-ft-005_drag_marks.png
EV-BAL-001,Ballistics,Shell casing,spent casing on floor/street,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,12,12,1,4,512,128,128,128,assets/evidence/individual/ev-bal-001_shell_casing.png
EV-BAL-002,Ballistics,Bullet fragment,slug/fragment in wall/car,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,13,13,1,5,640,128,128,128,assets/evidence/individual/ev-bal-002_bullet_fragment.png
EV-BAL-003,Ballistics,Bullet hole,wall/window/car impact,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,14,14,1,6,768,128,128,128,assets/evidence/individual/ev-bal-003_bullet_hole.png
EV-BAL-004,Ballistics,Gunpowder residue,on hands/clothing/table,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,15,15,1,7,896,128,128,128,assets/evidence/individual/ev-bal-004_gunpowder_residue.png
EV-BAL-005,Ballistics,Discarded firearm,pistol/revolver/shotgun,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,16,16,2,0,0,256,128,128,assets/evidence/individual/ev-bal-005_discarded_firearm.png
EV-BAL-006,Ballistics,Magazine / loose rounds,ammo left behind,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,17,17,2,1,128,256,128,128,assets/evidence/individual/ev-bal-006_magazine_loose_rounds.png
EV-BDY-001,Body Scene,Chalk outline,body position marker,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,18,18,2,2,256,256,128,128,assets/evidence/individual/ev-bdy-001_chalk_outline.png
EV-BDY-002,Body Scene,Body bag,removed body / morgue handoff,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,19,19,2,3,384,256,128,128,assets/evidence/individual/ev-bdy-002_body_bag.png
EV-BDY-003,Body Scene,Body tag,toe/wrist tag,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,20,20,2,4,512,256,128,128,assets/evidence/individual/ev-bdy-003_body_tag.png
EV-BDY-004,Body Scene,Blood pool,large pooled blood,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,21,21,2,5,640,256,128,128,assets/evidence/individual/ev-bdy-004_blood_pool.png
EV-BDY-005,Body Scene,Lividity mark note,body position inconsistency,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,22,22,2,6,768,256,128,128,assets/evidence/individual/ev-bdy-005_lividity_mark_note.png
EV-BDY-006,Body Scene,Ligature mark note,neck/wrist restraint marks,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,23,23,2,7,896,256,128,128,assets/evidence/individual/ev-bdy-006_ligature_mark_note.png
EV-DRG-001,Drugs,Powder packet,white/tan powder baggie,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,24,24,3,0,0,384,128,128,assets/evidence/individual/ev-drg-001_powder_packet.png
EV-DRG-002,Drugs,Pills loose,unmarked tablets/capsules,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,25,25,3,1,128,384,128,128,assets/evidence/individual/ev-drg-002_pills_loose.png
EV-DRG-003,Drugs,Prescription bottle,labeled pill bottle,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,26,26,3,2,256,384,128,128,assets/evidence/individual/ev-drg-003_prescription_bottle.png
EV-DRG-004,Drugs,Syringe,used needle,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,27,27,3,3,384,384,128,128,assets/evidence/individual/ev-drg-004_syringe.png
EV-DRG-005,Drugs,Spoon / cooker,burned spoon or cap,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,28,28,3,4,512,384,128,128,assets/evidence/individual/ev-drg-005_spoon_cooker.png
EV-DRG-006,Drugs,Glass pipe,pipe with residue,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,29,29,3,5,640,384,128,128,assets/evidence/individual/ev-drg-006_glass_pipe.png
EV-DRG-007,Drugs,Plastic bag corner,torn baggie corner,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,30,30,3,6,768,384,128,128,assets/evidence/individual/ev-drg-007_plastic_bag_corner.png
EV-DRG-008,Drugs,Scale with residue,small digital scale,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,31,31,3,7,896,384,128,128,assets/evidence/individual/ev-drg-008_scale_with_residue.png
EV-DRG-009,Drugs,Cash roll,rubber-banded bills,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,32,32,4,0,0,512,128,128,assets/evidence/individual/ev-drg-009_cash_roll.png
EV-DRG-010,Drugs,Burnt foil,foil strip with residue,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,33,33,4,1,128,512,128,128,assets/evidence/individual/ev-drg-010_burnt_foil.png
EV-DRG-011,Drugs,Naloxone kit / empty rescue kit,emergency overdose response clue,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,34,34,4,2,256,512,128,128,assets/evidence/individual/ev-drg-011_naloxone_kit_empty_rescue_kit.png
EV-DRG-012,Drugs,Hidden stash container,"mint tin, film canister, hollow book",assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,35,35,4,3,384,512,128,128,assets/evidence/individual/ev-drg-012_hidden_stash_container.png
EV-DOC-001,Documents,Fake receipt,wrong register/date/store info,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,36,36,4,4,512,512,128,128,assets/evidence/individual/ev-doc-001_fake_receipt.png
EV-DOC-002,Documents,Ledger page,names/payments/debts,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,37,37,4,5,640,512,128,128,assets/evidence/individual/ev-doc-002_ledger_page.png
EV-DOC-003,Documents,Threat note,written threat/intimidation,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,38,38,4,6,768,512,128,128,assets/evidence/individual/ev-doc-003_threat_note.png
EV-DOC-004,Documents,Phone number scrap,torn number/partial address,assets/evidence/raven_hook_evidence_sheet_01_8x5_128.png,39,39,4,7,896,512,128,128,assets/evidence/individual/ev-doc-004_phone_number_scrap.png
EV-DOC-005,Documents,Forged ID,fake name/card/license,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,0,40,0,0,0,0,128,128,assets/evidence/individual/ev-doc-005_forged_id.png
EV-DOC-006,Documents,Map with route marks,marked alley/canal/stash route,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,1,41,0,1,128,0,128,128,assets/evidence/individual/ev-doc-006_map_with_route_marks.png
EV-TEC-001,Electronics,Cassette tape,recorded call/confession/music clue,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,2,42,0,2,256,0,128,128,assets/evidence/individual/ev-tec-001_cassette_tape.png
EV-TEC-002,Electronics,Answering machine tape,home/business message,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,3,43,0,3,384,0,128,128,assets/evidence/individual/ev-tec-002_answering_machine_tape.png
EV-TEC-003,Electronics,Payphone coin jam,freshly jammed payphone,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,4,44,0,4,512,0,128,128,assets/evidence/individual/ev-tec-003_payphone_coin_jam.png
EV-TEC-004,Electronics,Camera film roll,photos from scene/suspect,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,5,45,0,5,640,0,128,128,assets/evidence/individual/ev-tec-004_camera_film_roll.png
EV-TEC-005,Electronics,Pager/beeper message,number/code message,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,6,46,0,6,768,0,128,128,assets/evidence/individual/ev-tec-005_pager_beeper_message.png
EV-VEH-001,Vehicle Evidence,Paint scrape,paint transfer on car/wall,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,7,47,0,7,896,0,128,128,assets/evidence/individual/ev-veh-001_paint_scrape.png
EV-VEH-002,Vehicle Evidence,Broken headlight glass,glass from impact,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,8,48,1,0,0,128,128,128,assets/evidence/individual/ev-veh-002_broken_headlight_glass.png
EV-VEH-003,Vehicle Evidence,License plate fragment,partial plate,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,9,49,1,1,128,128,128,128,assets/evidence/individual/ev-veh-003_license_plate_fragment.png
EV-VEH-004,Vehicle Evidence,Oil leak trail,vehicle left fluid trail,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,10,50,1,2,256,128,128,128,assets/evidence/individual/ev-veh-004_oil_leak_trail.png
EV-VEH-005,Vehicle Evidence,Vehicle interior fiber,seat/clothing fiber,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,11,51,1,3,384,128,128,128,assets/evidence/individual/ev-veh-005_vehicle_interior_fiber.png
EV-VEH-006,Vehicle Evidence,Trunk evidence,blood/tool/drug/rope in trunk,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,12,52,1,4,512,128,128,128,assets/evidence/individual/ev-veh-006_trunk_evidence.png
EV-WPN-001,Weapon / Tool,Knife,blade at scene,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,13,53,1,5,640,128,128,128,assets/evidence/individual/ev-wpn-001_knife.png
EV-WPN-002,Weapon / Tool,Crowbar,forced entry tool,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,14,54,1,6,768,128,128,128,assets/evidence/individual/ev-wpn-002_crowbar.png
EV-WPN-003,Weapon / Tool,Rope / cord,restraint/dragging clue,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,15,55,1,7,896,128,128,128,assets/evidence/individual/ev-wpn-003_rope_cord.png
EV-WPN-004,Weapon / Tool,Duct tape,restraint / gag evidence,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,16,56,2,0,0,256,128,128,assets/evidence/individual/ev-wpn-004_duct_tape.png
EV-WPN-005,Weapon / Tool,Tool marks,scratches/pry marks,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,17,57,2,1,128,256,128,128,assets/evidence/individual/ev-wpn-005_tool_marks.png
EV-MRK-001,Evidence Marker,Number marker 1-9,small tent marker at evidence,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,18,58,2,2,256,256,128,128,assets/evidence/individual/ev-mrk-001_number_marker_1_9.png
EV-MRK-002,Evidence Marker,Photo scale ruler,ruler beside print/casing,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,19,59,2,3,384,256,128,128,assets/evidence/individual/ev-mrk-002_photo_scale_ruler.png
EV-MRK-003,Evidence Marker,Scene tape,police/caution tape line,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,20,60,2,4,512,256,128,128,assets/evidence/individual/ev-mrk-003_scene_tape.png
EV-MRK-004,Evidence Marker,Traffic cones,block road/vehicle scene,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,21,61,2,5,640,256,128,128,assets/evidence/individual/ev-mrk-004_traffic_cones.png
EV-MRK-005,Evidence Marker,Evidence bag,generic bagged item,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,22,62,2,6,768,256,128,128,assets/evidence/individual/ev-mrk-005_evidence_bag.png
EV-MRK-006,Evidence Marker,Evidence box,large item container,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,23,63,2,7,896,256,128,128,assets/evidence/individual/ev-mrk-006_evidence_box.png
EV-MRK-007,Evidence Marker,Body screen / sheet,covers victim,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,24,64,3,0,0,384,128,128,assets/evidence/individual/ev-mrk-007_body_screen_sheet.png
EV-ENV-001,Environmental,Broken glass,window/door/car glass,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,25,65,3,1,128,384,128,128,assets/evidence/individual/ev-env-001_broken_glass.png
EV-ENV-002,Environmental,Mud sample,mud from shoe/tire/scene,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,26,66,3,2,256,384,128,128,assets/evidence/individual/ev-env-002_mud_sample.png
EV-ENV-003,Environmental,Matchbook,diner/bar/hotel matchbook,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,27,67,3,3,384,384,128,128,assets/evidence/individual/ev-env-003_matchbook.png
EV-ENV-004,Environmental,Cigarette ash pile,waiting/stakeout clue,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,28,68,3,4,512,384,128,128,assets/evidence/individual/ev-env-004_cigarette_ash_pile.png
EV-ENV-005,Environmental,Water trail,wet footprints/leak/drip,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,29,69,3,5,640,384,128,128,assets/evidence/individual/ev-env-005_water_trail.png
EV-ENV-006,Environmental,Fresh scratches,wall/car/door scratch,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,30,70,3,6,768,384,128,128,assets/evidence/individual/ev-env-006_fresh_scratches.png
EV-ENV-007,Environmental,Trash contents,discarded packaging/notes/drugs,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,31,71,3,7,896,384,128,128,assets/evidence/individual/ev-env-007_trash_contents.png
EV-WIT-001,Witness Evidence,Witness statement,recorded spoken account,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,32,72,4,0,0,512,128,128,assets/evidence/individual/ev-wit-001_witness_statement.png
EV-WIT-002,Witness Evidence,Contradiction note,conflicting accounts,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,33,73,4,1,128,512,128,128,assets/evidence/individual/ev-wit-002_contradiction_note.png
EV-WIT-003,Witness Evidence,Suspect alibi,claimed timeline,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,34,74,4,2,256,512,128,128,assets/evidence/individual/ev-wit-003_suspect_alibi.png
EV-WIT-004,Witness Evidence,Anonymous tip,phone/walk-in clue,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,35,75,4,3,384,512,128,128,assets/evidence/individual/ev-wit-004_anonymous_tip.png
EV-COC-001,Chain of Custody,Evidence label,case ID/time/officer label,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,36,76,4,4,512,512,128,128,assets/evidence/individual/ev-coc-001_evidence_label.png
EV-COC-002,Chain of Custody,Seal tape,tamper seal,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,37,77,4,5,640,512,128,128,assets/evidence/individual/ev-coc-002_seal_tape.png
EV-COC-003,Chain of Custody,Evidence locker slot,storage destination,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,38,78,4,6,768,512,128,128,assets/evidence/individual/ev-coc-003_evidence_locker_slot.png
EV-COC-004,Chain of Custody,Report attachment,photo/statement/evidence log,assets/evidence/raven_hook_evidence_sheet_02_8x5_128.png,39,79,4,7,896,512,128,128,assets/evidence/individual/ev-coc-004_report_attachment.png
